Listo. Formato de comando: <etiqueta> <numero_de_ventanas>
Ejemplo: reposo 20  |  Para interrumpir: stop
Listo. Formato de comando: <etiqueta> <numero_de_ventanas>
Ejemplo: reposo 20  |  Para interrumpir: stop
INICIO_VENTANA reposo
-0.1104,-0.1797,1.0299,7.1411,2.5635,0.6104
-0.1110,-0.1948,1.0011,0.2441,6.9580,-1.7090
-0.1115,-0.1841,0.9967,0.2441,5.3101,-0.9155
-0.1080,-0.1779,1.0226,3.6621,2.8076,0.5493
-0.0952,-0.1731,1.0242,-0.1831,5.3101,-0.9766
-0.1021,-0.1888,0.9788,1.7700,5.9814,-0.3052
-0.1066,-0.1656,1.0438,5.7373,1.3428,0.0610
-0.1252,-0.1868,1.0182,2.8076,5.4932,1.2207
-0.0966,-0.1738,1.0297,4.8218,4.3945,2.3193
-0.0795,-0.1602,1.0005,3.1738,6.6528,1.5259
-0.0936,-0.1687,1.0056,2.4414,2.6855,-1.2207
-0.1016,-0.1808,1.0181,3.4790,2.0142,-1.4038
-0.1028,-0.1693,1.0052,5.0659,3.2959,0.0000
-0.1036,-0.1797,1.0179,2.9297,2.9297,-0.3662
-0.0916,-0.1693,1.0101,3.2959,4.0894,-0.4883
-0.0920,-0.1678,1.0050,4.3945,1.7090,-1.1597
-0.0930,-0.1639,1.0184,6.6528,0.5493,0.0610
-0.0963,-0.1743,1.0009,5.6152,1.5259,-0.6714
-0.1104,-0.1755,1.0260,4.8828,0.3662,-1.1597
-0.1116,-0.1901,1.0223,4.2114,3.1128,-1.2207
-0.0854,-0.1505,1.0060,6.1035,3.7842,-14.4653
-0.0896,-0.1709,1.0078,5.0049,1.2817,-1.4038
-0.1115,-0.1709,1.0223,7.9956,0.1831,-0.6714
-0.1057,-0.1715,1.0234,5.1270,2.3193,-0.8545
-0.1038,-0.1935,0.9965,2.5024,4.2725,-2.1973
-0.0897,-0.1627,1.0118,8.7280,0.9766,0.7935
-0.0935,-0.1597,1.0255,3.9673,2.2583,-1.3428
-0.1017,-0.1766,0.9950,0.1221,4.4556,-2.5635
-0.1068,-0.1711,1.0137,8.3618,-2.0142,-0.3052
-0.1069,-0.1774,1.0289,3.1738,2.7466,-1.8921
-0.1055,-0.1693,0.9910,10.0098,2.8076,1.6479
-0.0951,-0.1648,1.0221,4.2114,0.9766,-1.0986
-0.0996,-0.1696,1.0159,0.5493,3.6011,-2.3193
-0.1005,-0.1653,1.0165,0.3052,2.9297,-2.1973
-0.1058,-0.1797,0.9904,7.2021,2.2583,-0.4272
-0.1049,-0.1744,1.0183,6.8970,15.1367,-1.2207
-0.0947,-0.1549,1.0065,5.0049,-0.3052,-0.2441
-0.1053,-0.1633,1.0021,5.6763,-0.9766,-1.7090
-0.1201,-0.1620,1.0377,4.0283,-0.5493,-2.6245
-0.1221,-0.1818,1.0273,-1.8921,3.4180,-3.2349
-0.1127,-0.1766,1.0115,4.9438,2.8687,-0.6104
-0.1027,-0.1549,1.0055,9.2773,2.3193,1.1597
-0.1018,-0.1593,1.0253,5.5542,1.6479,-0.6104
-0.1061,-0.1703,1.0254,0.1221,6.7749,-2.2583
-0.1067,-0.1572,1.0094,5.6763,1.7090,-0.0610
-0.1085,-0.1616,1.0328,2.3804,3.6011,-1.4648
-0.1066,-0.1753,0.9979,5.6763,4.8828,-0.3052
-0.0995,-0.1479,1.0228,7.2021,1.9531,0.3662
-0.1001,-0.1598,1.0255,-0.3662,5.1270,-2.2583
-0.1063,-0.1669,0.9871,4.5166,3.1738,-0.0610
-0.1041,-0.1608,1.0398,2.0752,2.5635,-1.7090
-0.1022,-0.1613,1.0020,4.3945,5.6152,-0.3662
-0.0942,-0.1501,1.0109,7.7515,1.5869,0.3662
-0.1085,-0.1630,1.0319,4.0894,2.6855,-1.5869
-0.1044,-0.1567,1.0131,6.7139,3.7231,0.7935
-0.0929,-0.1647,1.0016,5.8594,3.2959,0.0000
-0.0907,-0.1490,1.0201,0.9155,3.6011,-1.2207
-0.1091,-0.1617,1.0203,1.5869,4.2114,-1.6479
-0.0988,-0.1526,1.0219,4.7607,3.1128,-0.2441
-0.0840,-0.1523,1.0038,-0.6714,5.9204,-2.1362
-0.0955,-0.1547,0.9977,1.7090,3.4180,-1.6479
-0.1013,-0.1575,1.0276,6.4697,0.4883,-0.8545
-0.0991,-0.1613,1.0161,7.8125,2.5635,0.4883
-0.0953,-0.1603,1.0137,6.0425,2.8687,-0.1221
-0.0908,-0.1350,1.0217,4.6997,2.3193,0.6714
